TAZ,hh1,hh2,hh3,hh4,hh5,inc_low,inc_med,inc_high,empl_tot
263,698,849,319,221,122,489,509,1211,5993
264,673,750,334,233,142,398,458,1276,678
269,537,661,271,223,112,289,317,1198,180
271,345,452,267,166,95,201,223,901,2378
272,123,38,5,6,0,71,23,78,28138
274,656,891,375,292,149,356,274,1733,257
499,231,265,85,49,42,213,124,335,10802
500,83,135,66,45,23,93,50,209,692
513,22,76,44,45,32,5,31,183,237
515,39,10,0,9,0,42,16,0,8185
516,686,654,208,87,44,337,228,1114,10872
517,334,446,269,299,149,109,187,1201,793
518,544,661,289,278,137,405,419,1085,447
519,570,779,383,290,162,507,312,1365,251
